,,,,,,,
Module Code,Quản lí cán bộ,,,,,,
Test requirement,"1. Tìm kiếm cán bộ.
2. Thêm cán bộ
FUNC-ThemCB-18,Không nhập địa chỉ,"Tại màn hình Thêm cán bộ:
1. Không nhập dữ liệu địa chỉ tại [Địa chỉ]textbox.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng nhập địa chỉ!""
Trỏ chuột tại [Địa chỉ] textbox.",,,,
FUNC-ThemCB-19,Nhập quá số ký tự địa chỉ cho phép,"Tại màn hình Thêm cán bộ:
1. Nhập quá 100 ký tự tại [Địa chỉ]textbox.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng không nhập quá 100 ký tự!""
Trỏ chuột tại [Địa chỉ]textbox.",,,,
FUNC-ThemCB-20,Nhập địa chỉ có kí tự đặc biệt.,"Tại màn hình Thêm cán bộ:
1. Nhập ký tự đặc biệt tại [Địa chỉ]textbox.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng không nhập ký tự đặc biệt!""
Trỏ chuột tại [Địa chỉ]textbox.",,,,
FUNC-ThemCB-21,Không nhập nơi công tác,"Tại màn hình Thêm cán bộ:
1. Không nhập dữ liệu nơi công tác tại [Nơi công tác] textbox.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng nhập nơi công tác!""
Trỏ chuột tại [Nơi công tác] textbox.",,,,
FUNC-ThemCB-22,Nhập quá số ký tự nơi công tác cho phép.,"Tại màn hình Thêm cán bộ:
1. Nhập quá 100 ký tự tại [Nơi công tác]textbox.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng không nhập quá 100 ký tự!""
Trỏ chuột tại [Nơi công tác]textbox.",,,,
FUNC-ThemCB-23,Nhập nơi công tác có ký tự đặc biệt.,"Tại màn hình Thêm cán bộ:
1. Nhập ký tự đặc biệt tại [Nơi công tác]textbox.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng không nhập ký tự đặc biệt!""
Trỏ chuột tại [Nơi công tác]textbox.",,,,
FUNC-ThemCB-24,Không nhập chức vụ,"Tại màn hình Thêm cán bộ:
1. Không nhập dữ liệu chức vụ tại [Chức vụ]textbox.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng nhập chức vụ!""
Trỏ chuột tại [Chức vụ] textbox.",,,,
FUNC-ThemCB-25,Nhập chức vụ có ký tự đặc biệt,"Tại màn hình Thêm cán bộ:
1. Nhập ký tự đặc biệt tại [Chức vụ]textbo.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng không nhập ký tự đặc biệt!""
Trỏ chuột tại [Chức vụ] textbox.",,,,
FUNC-ThemCB-26,Không nhập dữ liệu vào form,"Tại màn hình Thêm cán bộ:
1. Không nhập tất cả các dữ liệu được yêu cầu nhập trong form.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Vui lòng nhập dữ liệu!""
Trỏ chuột tại [Tên cán bộ] textbox.
",,,,
FUNC-ThemCB-27,Thêm cán bộ thành công khi input tất cả các thông tin,"Tại màn hình Thêm cán bộ:
1. Nhập tất cả dữ liệu được yêu cầu nhập trong form.
2. Nhấn [Thêm] button.","Hiển thị thông báo: ""Thêm cán bộ thành công!""",,,,
